fecha,nivel,variacion_mensual,variacion_interanual
2024-03-01,116.8,-0.28,-1.19
2024-04-01,117.19,0.33,-0.52
2024-05-01,117.28,0.08,-0.33
2024-06-01,117.45,0.14,-0.03
2024-07-01,117.31,-0.12,0.03
2024-08-01,117.44,0.12,0.31
2024-09-01,117.05,-0.33,-0.14
2024-10-01,116.53,-0.44,-0.79
2024-11-01,117.08,0.47,-0.09
2024-12-01,118.18,0.94,0.84
2025-01-01,118.61,0.36,1.15
2025-02-01,118.6,-0.01,1.25
2025-03-01,118.22,-0.32,1.21
2025-04-01,117.62,-0.51,0.37
2025-05-01,117.15,-0.4,-0.12
2025-06-01,117.2,0.04,-0.22
2025-07-01,116.6,-0.52,-0.61
2025-08-01,116.34,-0.21,-0.94
2025-09-01,115.88,-0.4,-1.0
2025-10-01,116.09,0.19,-0.38
2025-11-01,116.64,0.47,-0.38
2025-12-01,116.73,0.08,-1.23
2026-01-01,115.61,-0.96,-2.53
2026-02-01,115.36,-0.22,-2.73
2026-03-01,115.75,0.34,-2.09
2026-04-01,115.69,-0.04,-1.64
2026-05-01,116.01,0.27,-0.97
2026-06-01,116.83,0.71,-0.32
