fecha_inicio,fecha_fin,tbp
2025-08-21,2025-08-27,3.84
2025-08-28,2025-09-03,3.86
2025-09-04,2025-09-10,3.88
2025-09-11,2025-09-17,3.88
2025-09-18,2025-09-24,3.89
2025-09-25,2025-10-01,3.88
2025-10-02,2025-10-08,3.86
2025-10-09,2025-10-15,3.85
2025-10-16,2025-10-22,3.83
2025-10-23,2025-10-29,3.82
2025-10-30,2025-11-05,3.81
2025-11-06,2025-11-12,3.8
2025-11-13,2025-11-19,3.79
2025-11-20,2025-11-26,3.79
2025-11-27,2025-12-03,3.78
2025-12-04,2025-12-10,3.78
2025-12-11,2025-12-17,3.77
2025-12-18,2025-12-24,3.77
2025-12-25,2025-12-31,3.78
2026-01-01,2026-01-07,3.77
2026-01-08,2026-01-14,3.76
2026-01-15,2026-01-21,3.75
2026-01-22,2026-01-28,3.73
2026-01-29,2026-02-04,3.72
