fecha,tipo_cambio_monex
2025-01-02,509.74
2025-01-03,509.35
2025-01-06,508.82
2025-01-07,507.66
2025-01-08,505.94
2025-01-09,505.03
2025-01-10,505.56
2025-01-13,504.1
2025-01-14,502.17
2025-01-15,502.2
2025-01-16,504.02
2025-01-17,504.44
2025-01-20,505.51
2025-01-21,505.15
2025-01-22,504.63
2025-01-23,506.22
2025-01-24,508.72
2025-01-27,509.06
2025-01-28,506.66
2025-01-29,507.7
2025-01-30,508.96
2025-01-31,509.43
2025-02-03,509.51
2025-02-04,509.08
2025-02-05,509.18
2025-02-06,509.44
2025-02-07,509.83
2025-02-10,509.04
2025-02-11,509.23
2025-02-12,507.27
2025-02-13,507.84
2025-02-14,507.03
2025-02-17,506.78
2025-02-18,506.62
2025-02-19,505.31
2025-02-20,507.61
2025-02-21,506.99
2025-02-24,507.0
2025-02-25,507.7
2025-02-26,506.83
2025-02-27,506.53
2025-02-28,504.75
2025-03-03,505.77
2025-03-04,505.78
2025-03-05,505.09
2025-03-06,505.18
2025-03-07,505.44
2025-03-10,503.36
2025-03-11,501.39
2025-03-12,501.03
2025-03-13,499.9
2025-03-14,500.08
2025-03-17,499.85
2025-03-18,500.28
2025-03-19,499.84
2025-03-20,501.07
2025-03-21,500.03
2025-03-24,500.27
2025-03-25,499.72
2025-03-26,500.16
2025-03-27,501.77
2025-03-28,502.43
2025-03-31,503.25
2025-04-01,504.23
2025-04-02,504.75
2025-04-03,507.32
2025-04-04,509.29
2025-04-07,511.43
2025-04-08,510.4
2025-04-09,509.04
2025-04-10,507.77
2025-04-14,505.34
2025-04-15,504.16
2025-04-16,504.15
2025-04-21,504.14
2025-04-22,505.25
2025-04-23,506.03
2025-04-24,506.42
2025-04-25,507.06
2025-04-28,506.76
2025-04-29,506.21
2025-04-30,506.7
2025-05-02,506.68
2025-05-05,508.27
2025-05-06,509.22
2025-05-07,508.99
2025-05-08,508.84
2025-05-09,508.31
2025-05-12,507.74
2025-05-13,506.81
2025-05-14,505.17
2025-05-15,504.63
2025-05-16,504.16
2025-05-19,504.97
2025-05-20,506.39
2025-05-21,508.33
2025-05-22,508.53
2025-05-23,509.64
2025-05-26,509.9
2025-05-27,509.7
2025-05-28,508.39
2025-05-29,507.86
2025-05-30,506.91
2025-06-02,508.51
2025-06-03,509.53
2025-06-04,510.57
2025-06-05,509.67
2025-06-06,508.39
2025-06-09,507.05
2025-06-10,505.6
2025-06-11,504.32
2025-06-12,504.42
2025-06-13,503.63
2025-06-16,504.5
2025-06-17,505.6
2025-06-18,506.72
2025-06-19,508.04
2025-06-20,509.11
2025-06-23,507.33
2025-06-24,505.92
2025-06-25,505.41
2025-06-26,505.95
2025-06-27,507.27
2025-06-30,506.23
2025-07-01,505.92
2025-07-02,505.77
2025-07-03,505.59
2025-07-04,506.45
2025-07-07,504.26
2025-07-08,504.73
2025-07-09,505.04
2025-07-10,505.97
2025-07-11,505.01
2025-07-14,504.08
2025-07-15,504.17
2025-07-16,504.48
2025-07-17,504.5
2025-07-18,504.48
